SITIO,DBO_mg/L,DQO_mg/L,SST_mg/L,COLI_FEC_NMP_100mL,E_COLI_NMP_100mL,OD_PORC,TOX_D_48_UT,TOX_V_15_UT
561.0,2.0,10.0,10.0,161.0,3.0,79.58,1.0,1.0
562.0,6.76,10.0,10.0,199.0,3.0,72.18,1.0,1.0
738.0,2.0,16.64,57.4,24196.0,31.0,84.76,1.218,1.0
513.0,2.0,10.0,68.2,556.0,68.6,92.48,1.0,1.0
514.0,2.944,24.93,40.0,295.0,147.8,89.5,1.0,1.0
512.0,25.074,34.37,68.9,504.0,327.0,43.56,1.0,1.0
511.0,17.98,35.466,40.4,1112.0,444.0,48.28,1.0,1.0
744.0,3.6,30.31,38.3,4611.0,2111.4,75.76,1.0,1.0
190.0,2.944,26.424,22.3,279.0,154.6,85.62,1.0,1.0
253.0,20.434,27.74,21.0,52.0,31.4,88.52,1.0,1.0
516.0,2.0,20.652,24.6,355.0,76.8,84.3,1.0,1.0
344.0,6.16,15.242,10.9,2247.0,397.6,101.7,1.0,1.0
318.0,16.018,25.978,10.0,448.0,247.0,70.18,1.0,1.0
315.0,43.13,75.153,1423.09,116050.0,63508.6,69.08,1.308,1.962
142.0,7.45,38.828,236.37,15000.0,5833.5,83.85,1.0,1.0
320.0,661.55,2381.18,397.88,108584.0,106804.0,17.06,2.922,29.962
321.0,41.334,101.74,415.14,19680.0,19680.0,27.9,1.0,1.0
1088.0,60.2,162.83,117.78,23000000.0,16786.0,23.1,1.876,1.37
66.0,66.0,196.51,412.5,11000.0,4600.0,51.68,1.0,1.0
913.0,12.67,33.71,22.0,430.0,230.0,55.08,1.0,1.0
1631.0,2.0,71.21,18.0,430.0,230.0,59.4,1.0,1.0
945.0,3.5,75.38,16.0,110.0,70.0,69.92,1.0,1.0
1630.0,2.0,61.63,15.0,210.0,110.0,66.78,1.0,1.0
1629.0,2.0,63.71,10.0,230.0,90.0,62.06,1.0,1.0
12.0,540.0,895.88,440.0,24000.0,24000.0,18.08,1.63,1.0
1085.0,760.0,1426.06,500.0,2400.0,230.0,28.22,9.17,13.51
690.0,10.76,18.67,10.0,15089.6,1417508.8,76.68,1.0,1.0
691.0,99.2,170.16,102.0,150242.0,81057.6,28.6,1.0,1.68
908.0,22.67,73.71,21.0,24000.0,24000.0,35.22,1.0,1.0
668.0,19.8,39.21,16.0,11615.0,90.0,62.1,1.0,1.0
112.0,126.67,185.09,104.7,24000.0,24000.0,26.2,1.0,3.076
111.0,145.0,225.09,166.7,24000.0,24000.0,22.1,1.0,10.472
206.0,1680.0,2800.0,265.0,387300.0,34500.0,35.2,1.0,1.136
408.0,182.0,721.67,504.0,241960.0,43520.0,54.1,2.73,17.24
963.0,22.5,32.37,82.0,43.0,15.0,64.94,1.302,1.0
172.0,2.0,10.0,40.5,1250.0,10.0,73.1,1.0,1.0
404.0,2.0,10.0,10.0,586.0,97.0,92.48,1.0,1.0
666.0,20.148,30.488,24.0,3.0,3.2,83.7,1.0,1.0
559.0,18.984,30.82,29.0,93.0,34.2,59.82,1.0,1.0
558.0,20.262,30.058,28.0,3.0,4.0,82.64,1.0,1.0
664.0,21.102,35.674,28.0,9.0,6.2,80.44,1.0,1.0
665.0,24.918,34.626,32.0,7.0,3.8,87.48,1.0,1.0
80.0,33.952,48.904,32.0,23.0,7.0,77.68,1.0,1.0
760.0,15.906,38.456,286.0,3.0,24.0,68.12,1.302,1.0
1619.0,38.736,53.346,36.0,23.0,10.2,70.14,1.0,1.0
1624.0,12.534,23.086,17.0,9.0,4.0,77.54,1.0,1.0
1623.0,25.184,35.208,113.0,3.0,10.4,58.5,1.302,1.0
1618.0,18.27,28.248,30.0,3.0,3.8,81.14,1.0,1.0
1622.0,33.736,42.018,44.0,3.0,7.8,80.66,1.0,1.0
1621.0,31.672,39.404,48.0,3.0,7.8,67.78,1.0,1.0
