DBO_mg/L,DQO_mg/L,SST_mg/L,COLI_FEC_NMP_100mL,E_COLI_NMP_100mL,OD_PORC,TOX_D_48_UT,TOX_V_15_UT
57.56388356053574,163.39,14.0,2400.0,2400.0,62.612815226821894,1.0,1.0
15.57,30.01,10.0,2400.0,1100.0,61.0,1.0,1.0
4.2,47.67,11.2,24196.0,11199.0,85.6,1.0,1.0
24.6,34.27,16.0,2400.0,2400.0,67.3,1.0,0.4683150996720915
46.68,61.88,38.0,2400.0,1100.0,74.9,1.0,0.41522181196254504
11.1,22.26,26.0,240.0,64981.3464595422,60.1,1.0,1.0
13.05,25.17,16.0,460.0,460.0,72.9,1.0,1.0
3.92,10.0,22.0,3.0,3.0,107.4,1.0,1.0
3.94,10.0,16.0,3.0,3.0,103.2,1.0,1.0
2.15,10.0,18.0,52.0,41.0,116.3,1.0,1.0
4.92,10.0,10.0,3.0,3.0,93.5,1.0,1.0
4.36,10.0,10.0,20.0,10.0,106.1,1.0300203145702338,1.0
9.3,387.44,48.0,24196.0,24196.0,10.0,1.0,2.2
15.061696094420562,26.21,250.12811429058263,280.0,210.0,65.3,1.0,1.0
2.0,11.7,14.2,10462.0,262.0,75.2,1.0,0.6295645179497051
2.0,10.0,199.41013148997888,19863.0,9804.0,84.1,1.0,1.0
2.0,45.79,10.0,24000.0,4600.0,62.2,0.9636232543391823,1.0
2.0,41.21,10.0,230.0,30.0,65.8,1.0,1.0
2.0,39.13,10.0,24000.0,11000.0,65.1,1.0,1.0
2.0,24.54,10.0,11000.0,2100.0,71.78398051277655,1.0,1.0
2.0,26.21,10.0,90.0,3.0,50.1,1.0,1.0
2.0,29.96,10.0,40.0,3.0,55.1,1.0,1.0
2.0,27.04,10.0,230.0,71050.23642199271,57.7,1.0,1.0
2.0,28.29,307.92071041445274,230.0,40.0,52.7,0.947580509031031,1.0
2.0,29.54,10.0,230.0,90.0,52.8,0.9463953254228822,1.6694483654634793
2.0,16.63,10.0,230.0,40.0,57.3,1.0,1.0
2.0,19.96,10.0,-2271793.940340586,90.0,50.3,1.0,1.0
2.0,18.29,295.73747295843367,430.0,230.0,52.9,1.0,1.0
2.0,29.96,10.0,4600.0,2400.0,66.5,1.0,1.0
2.0,32.04,10.0,40.0,3.0,66.7,1.0,1.0
2.0,18.376255636444533,10.0,140.0,90.0,68.3,1.0,1.0
2.0,28.71,10.0,930.0,430.0,60.4,1.0,1.0
25.096571761291344,47.53161206994402,10.0,390.0,230.0,57.7,1.0,1.0
2.0,43.29,10.0,24000.0,24000.0,64.2,1.0,2.191215221039294
11.1,25.296900771300308,20.1,5172.0,199.0,33.6,1.0,1.0
14.3,18.39,27.4,24196.0,12033.0,39.4,1.0,1.0
9.2,56.31,300.0,20980.0,55026.898402988096,58.6,1.0,1.0
25.4,53.23,305.0,48840.0,19040.0,55.3,1.0229586099941987,1.0
19.1,63.23,477.5,-601627.8918585051,10860.0,52.9,1.0,1.0
16.7,26.75,791.4,241960.0,193290.0,62.4,1.0,1.0
17.4,68.87,80.3,17329.0,15531.0,107.4,1.0,2.086984853809251
15.4,48.62,75.6,12590.0,9600.0,50.2,1.0,1.0
39.63117742462147,72.62,159.8,68670.0,64880.0,41.8,1.0,1.0
12.0,48.51,78.7,24196.0,24196.0,16.3,1.0,1.0
17.4,37.33,10.1,14136.0,2187.0,68.87694659076172,1.0,0.9875881081397503
18.1,21.74,30.3,75074.9600495547,373.0,82.2,1.0,1.0
37.4,110.15,1485.7,4561716.87290543,141360.0,94.0,1.0,1.0
15.7,19.23,262.3,15390.0,1600.0,82.0,1.0,1.0
15.2,64.77,323.7,17930.0,6415.139058391156,82.0,1.0,1.0
14.8,19.23,388.7,17850.0,2690.0,91.4,1.0,1.0
2.0,10.0,265.9500715362109,48840.0,4080.0,62.9,1.0,0.6410948036691274
2.0,10.0,10.0,1467.0,813.0,101.8,1.0,1.0
-6.401721236367983,10.0,10.0,578.0,63.0,101.6,1.0,1.0
23.5,41.44,119.8,14136.0,90372.48222618253,41.1,1.0,1.2496124707446805
23.7,51.51,67.9,24196.0,6131.0,71.0,1.0,1.0
15.7,35.697782596592646,73.7,24196.0,24196.0,65.6,1.0,1.0
20.2,35.18,61.9,24196.0,14136.0,100.9,1.0,1.0
11.4,111.38,243.4,32550.0,14210.0,49.3,1.0,1.0
36.4,56.72,111.2,224700.0,57600.0,41.1,1.0,1.0
2.0,10.0,10.0,98.0,51.0,71.7,1.0,1.0
20.5,74.0,174.4,241960.0,241960.0,65.85562789378963,1.0,1.0
21.8,55.95,215.4,24196.0,24196.0,41.4,1.0,1.0
4.4,23.74,398.3,24196.0,33594.33483681339,78.7,1.0,1.0
6.96,22.9,76.2,-260405.81425447855,24196.0,79.0,1.0,1.0
9.48,11.87,70.2,24196.0,24196.0,79.2,1.0,1.0
7.84,10.18,194.99399023352152,6867.0,1250.0,83.1,1.0,1.0
8.0,12.72,38.3,15531.0,512.0,97.7,1.0282052999131719,1.0
8.6,55.62,74.3,24196.0,15531.0,50.5,1.0,1.0
-7.891510133775569,10.0,46.8,-61583.73712799419,216.0,103.0,0.9920801820332757,1.0
2.0,10.0,117.64025253289327,1650.0,160.0,113.4,1.0,1.0
3.1594936033280376,10.0,16.9,-1185701.4936124338,131.0,73.6,1.0,1.0
2.0,10.0,233.40177241948186,-1315975.0410552053,119.0,72.0,1.0,1.0
2.0,10.0,28.6,24196.0,278.0,53.8,1.0,1.0
2.0,10.0,50.9,4352.0,489.0,100.9,1.0,1.0
4.16,36.21,17.2,552558.4206318446,62.0,101.0,1.0114712680287596,1.0
2.0,10.0,46.9,3654.0,41.0,106.1,1.0,1.0
2.0,10.0,35.7,1236.0,31.0,107.4,1.0,1.0
-7.338300417547121,10.0,42.7,2098.0,63.0,103.6,1.0,1.0
7.4,13.44,150.6,15650.0,1550.0,88.6,1.0,1.0
6.4,14.28,243.0,19560.0,2500.0,70.35182366222557,0.9842813031920904,1.0
2.0,10.0,24.4,5172.0,76927.7577618477,58.4,1.0,1.0
2.0,10.0,24.1,-1727896.5356057761,41.0,64.0,1.0,1.0
8.154920592558547,12.6,39.7,2613.0,171.0,71.7,1.0,1.0
2.0,17.98166950890915,23.8,9804.0,31.0,65.2,1.0,1.0
2.0,21.82311877248337,28.5,-2144057.2975870557,41.0,58.7,1.0,1.8184537395067806
2.0,10.0,46.7,6131.0,609.0,92.8,1.0,1.0
10.4,13.44,32.0,9208.0,987.0,87.9,1.0,1.0
7.1,10.0,166.4571487336368,72700.0,17260.0,93.1,1.0,1.0
4.08,10.0,25.0,8664.0,2400.0,90.1,1.0,1.0
14.7,16.8,35.9,15531.0,6867.0,91.9,1.0,1.0
2.0,10.0,17.7,17329.0,5172.0,79.4,1.0,1.0
11.0,13.44,16.6,10462.0,3076.0,84.8,1.0187314302261261,1.0
18.3,20.16,33.5,6488.0,315.0,68.5,1.0,1.0
9.2,10.0,148.4712060954173,17329.0,1029.0,98.9,1.0,1.0
8.2,11.65,360.0,57940.0,8690.0,101.2,1.0,1.0
8.7,10.0,130.1,24196.0,2809.0,105.6,1.041519901739846,1.0
8.6,10.0,159.9,61310.0,6330.0,94.2,1.0,1.0
2.0,10.0,166.31301472019237,-80078.2447603466,160.0,96.1,1.0,1.0
2.0,16.8,349.4,54750.0,10710.0,87.1,1.0,1.0
2.0,29.4,210.6959858303643,24196.0,17329.0,86.3,0.9990213720228546,1.0
2.0,10.92,254.6,24196.0,10462.0,71.36817705742044,1.0,1.0
2.0,10.0,20.2,6488.0,226.0,106.8,1.0,1.0
2.0,10.0,18.4,6131.0,216.0,112.9,1.0330333337578566,1.0
11.8,12.6,279.8,14136.0,262.0,99.6,1.0,1.0
13.1,16.8,476.0,1321704.1722968891,100.0,101.3,1.0,-0.37607825010700036
11.9,12.6,384.8,7940.0,750.0,105.6,1.0507768304423941,1.0
11.4,13.44,150.3559451409413,12100.0,520.0,98.3,1.0,1.0
2.0,18.48,499.6,36540.0,7890.0,86.3,1.0,1.0
2.0,10.0,275.70031427742583,-2093051.9424085598,298.0,56.8,1.0,1.0
24.0,95.79,10.0,4600.0,2100.0,68.39055881596359,1.0,1.0
113.33,259.37,172.7,24000.0,24000.0,18.3,1.19,28.57
160.0,382.23,367.7,24000.0,24000.0,13.4,1.77,90.91
339.0,711.44,163.465,24000.0,24000.0,12.7,1.63,12.82
380.0,790.8,132.3,24000.0,24000.0,11.1,1.86,25.0
