DQO_mg/L,TOX_V_15_UT,E_COLI_NMP_100mL,TOX_D_48_UT
18.71,1.0,24000.0,1.0
41.63,1.0,24000.0,1.0
84.13,9.09,24000.0,1.0
3254.0,52.63,24000.0,6.9
43.56,1.0,10.0,1.0
11.08,1.0,52.0,1.0
51.625,1.0,930.0,1.0
750.8,1.0,24000.0,5.569
47.041,1.0,11000.0,1.0
10.0,1.0,2400.0,1.0
29.935,1.0,2400.0,1.0
10.0,1.0,3.0,1.0
10.0,1.0,3.0,1.0
10.0,1.0,1274.0,1.0
344.74,1.0,14136.0,1.0
10.0,1.0,272.0,1.0
10.0,1.0,269.0,1.0
29.26,1.0,620.0,1.0
16.72,1.0,1070.0,1.0
10.0,1.0,323.0,1.0
10.0,1.0,450.0,1.0
24.13,1.0,22470.0,1.0
26.62,1.0,22470.0,1.0
324.15,4.35,2400.0,1.0
16.3548015,1.42,3.0,1.0
21.1,1.0,24196.0,1.0
119.79,1.57,24196.0,1.0
10.0,1.0,50226.0,1.0
19.88,1.0,312098.0,1.0
20.725,1.0,6512098.0,1.0
11.945,1.0,20350.5,1.0
10.0,1.0,24196.0,1.0
21.605,1.0,24196.0,1.0
10.0,1.0,1259.0,1.0
12.66,1.0,24196.0,1.0
38.055,1.0,104198.0,1.0
23.12,1.0,132098.0,1.0
18.145,1.0,262098.0,1.0
10.0,1.0,256298.0,1.0
19.96,1.0,34500.0,1.0
11.945,1.0,30598.0,1.0
13.895,1.0,12598.0,1.0
10.0,1.0,29332.0,1.0
20.01,1.0,162098.0,1.0
10.0,1.0,1968.0,1.0
10.0,1.0,24196.0,1.0
10.0,1.0,24196.0,1.0
10.0,1.0,23598.0,1.0
12.115,1.0,41598.0,1.0
10.0,1.0,40098.0,1.0
89.86,1.0,24196.0,1.0
15.69,1.0,24196.0,1.0
13.075,1.0,24196.0,1.0
27.37,1.0,67098.0,1.0
10.0,1.0,31.0,1.0
10.0,1.0,5794.0,1.0
10.0,1.0,31.0,1.0
10.0,1.0,3.0,1.0
10.0,1.0,3.0,1.0
10.0,1.0,3.0,1.0
10.0,1.0,96.0,1.0
45.5,1.0,4.0,1.0
49.98,1.0,2400.0,1.0
55.69,1.0,460.0,1.0
21.96,1.0,460.0,1.0
21.47,1.0,240.0,1.0
29.77,1.0,240.0,1.0
32.21,1.0,1100.0,1.0
44.41,1.0,2400.0,1.0
30.74,1.0,2400.0,1.0
37.13,1.0,1100.0,1.0
31.72,1.0,1100.0,1.0
24.75,1.0,240.0,1.0
31.42,1.0,43.0,1.0
69.02,1.0,23.0,1.0
23.8,1.0,210.0,1.0
27.61,1.0,460.0,1.0
24.75,1.0,43.0,1.0
19.52,1.0,93.0,1.0
68.07,1.0,3.0,1.0
28.56,1.0,28.0,1.0
66.64,1.0,15.0,1.0
32.21,1.0,23.0,1.0
67.59,1.0,15.0,1.0
27.33,1.0,240.0,1.0
69.3,1.0,1100.0,1.0
29.51,1.0,3.0,1.0
51.3,1.0,3.0,1.0
45.5,1.0,9.0,1.0
44.04,1.0,210.0,1.0
45.01,1.0,15.0,1.0
64.37,1.0,3.0,1.0
48.4,1.0,15.0,1.0
24.89,1.0,43.0,1.0
27.82,1.0,240.0,1.0
22.94,1.0,210.0,1.0
24.28,1.0,75.0,1.0
22.37,1.0,2400.0,1.0
34.46,1.0,23.0,1.0
20.94,1.0,2400.0,1.0
27.38,1.0,120.0,1.0
26.9,1.0,9.0,1.0
32.37,1.0,1100.0,1.0
32.57,1.0,2400.0,1.0
23.23,1.0,2400.0,1.0
29.77,1.0,150.0,1.0
51.73,1.0,28.0,1.0
52.7,1.0,240.0,1.0
44.41,1.0,460.0,1.0
31.72,1.0,23.0,1.0
32.7,1.0,43.0,1.0
37.09,1.0,1100.0,1.0
49.29,1.0,150.0,1.0
46.36,1.0,460.0,1.0
35.14,1.0,1100.0,1.0
45.87,1.0,240.0,1.0
21.6,1.0,460.0,1.0
25.08,1.0,3.0,1.0
12.54,1.0,3.0,1.0
10.0,1.0,85.0,1.0
19.04,1.0,93.0,1.0
61.4,1.0,3.0,1.0
44.74,1.0,1100.0,1.0
22.37,1.0,43.0,1.0
40.94,1.0,2400.0,1.0
10.0,1.0,1112.0,1.0
10.0,1.0,298.0,1.0
26.75,1.0,2282.0,1.0
10.0,1.0,480.0,1.0
17.47,1.0,75.0,1.0
38.71,1.0,24000.0,1.0
40.79,1.0,24000.0,1.0
26.21,1.0,280.0,1.0
75.79,1.0,24000.0,1.0
84.13,1.0,230.0,1.0
34.13,1.0,24000.0,1.0
63.71,1.0,930.0,1.0
65.38,1.0,30.0,1.0
79.54,1.0,24000.0,1.0
13.38,1.0,4884.0,1.0
15.38,1.0,930.0,1.0
25.08,1.0,17329.0,1.0
14.13,1.0,2400.0,1.0
10.0,1.0,933.0,1.0
10.0,1.0,63.0,1.0
43.71,1.0,24000.0,1.0
10.0,1.0,591.0,1.0
15.05,1.0,7701.0,1.0
11.7,1.0,12910.0,1.0
61.21,1.0,11000.0,1.0
60.38,1.0,24000.0,1.0
64.96,1.0,4600.0,1.0
10.0,1.0,94.0,1.0
34.54,1.0,4600.0,1.0
62.1,1.0,24196.0,1.0
31.21,1.0,11000.0,1.0
27.88,1.0,930.0,1.0
13.71,1.0,750.0,1.0
30.38,1.0,24000.0,1.0
28.71,1.0,11000.0,1.0
10.0,1.0,512.0,1.0
32.46,1.0,24000.0,1.0
17.47,1.0,201.0,1.0
45.38,1.0,430.0,1.0
47.46,1.0,70.0,1.0
58.29,1.0,430.0,1.0
37.88,1.0,230.0,1.0
52.88,1.0,2400.0,1.0
35.79,1.0,24000.0,1.0
1581.6,13.51,2100.0,1.4
27.46,1.0,2400.0,1.0
26.63,1.0,930.0,1.0
18.29,1.0,750.0,1.0
48.71,1.0,4600.0,1.0
32.04,1.0,24000.0,1.0
37.04,1.0,230.0,1.0
28.71,1.0,24000.0,1.0
54.54,1.0,2100.0,1.0
83.29,1.0,24000.0,1.0
38.71,1.0,24000.0,1.0
32.04,1.0,230.0,1.0
30.38,1.0,2400.0,1.0
10.0,1.0,327.0,1.0
26.21,1.0,40.0,1.0
45.38,1.0,1500.0,1.0
37.04,1.0,4600.0,1.0
36.21,1.0,2100.0,1.0
23.29,1.0,1200.0,1.0
42.04,1.0,24000.0,1.0
38.71,1.0,24000.0,1.0
10.0,1.0,148.0,1.0
38.29,1.0,930.0,1.0
36.21,1.0,24000.0,1.0
51.21,1.0,24000.0,1.0
10.0,1.0,2142.0,1.0
43.71,1.0,4600.0,1.0
47.04,1.0,4600.0,1.0
38.29,1.0,11000.0,1.0
12.54,1.0,15760.0,1.0
32.88,1.0,24000.0,1.0
52.88,1.0,390.0,1.0
45.79,1.0,90.0,1.0
72.04,1.0,230.0,1.0
85.38,1.0,24000.0,1.0
69.54,1.0,930.0,1.0
